Question,Answer
"What does DRT-0297 mean?","DRT-0297 is an error code in OpenROAD's detailed routing tool (DRT). Specifically: - Type: ERROR - Message: 'inst {} not found in db' - Meaning: The detailed router was unable to find a particular instance in the database."
"Does OpenROAD support synthesis?","OpenROAD currently does not have its own built-in synthesis capabilities. Instead, it relies on external tools like Yosys for synthesis. However, there is no plan to integrate synthesis directly into OpenROAD."
"How can I specify I/O pin layout?","To specify I/O pin layout in OpenROAD, you can use the following commands: 1. Define pin shape patterns: define_pin_shape_pattern -layer <layer> -x_step <x> -y_step <y> -region {llx lly urx ury} -size {width height} 2. Set I/O pin constraints: set_io_pin_constraint -direction <direction> -region <edge:interval> 3. Place specific pins: place_pin -pin_name <name> -layer <layer> -location {x y} -pin_size {width height} 4. Place all pins: place_pins -hor_layers <layers> -ver_layers <layers> [options] Key options for place_pins: - -corner_avoidance <length>: Avoid corners - -min_distance <distance>: Set minimum pin spacing - -exclude <region>: Exclude regions from pin placement - -group_pins <pin_list>: Group pins together You can also use write_pin_placement to save the pin placement to a file."
"How does timing driven placement work in OpenROAD?","Timing-driven placement in OpenROAD works as follows: 1. The global placement tool (gpl) performs a virtual repair_design to calculate slack values and weight nets with low slack. 2. It adjusts the worst slacks (controlled by -timing_driven_nets_percentage) using a multiplier (controlled by -timing_driven_net_weight_max). 3. The multiplier is scaled from the full value for the worst slack, down to 1.0 at the timing_driven_nets_percentage point. 4. Timing-driven iterations are triggered based on overflow threshold values set by -timing_driven_net_reweight_overflow. 5. When these overflow thresholds are reached, the resizer is executed to recalculate timing and update net weights. 6. This process repeats, guiding the placement to improve timing-critical paths. 7. The set_wire_rc command is used to set resistance and capacitance values for estimated wires used in timing calculations. Key parameters that control timing-driven placement: - -timing_driven_net_reweight_overflow - -timing_driven_net_weight_max - -timing_driven_nets_percentage Adjusting these parameters allows tuning the timing-driven behavior to balance runtime and quality of results."
"What are the CI practices for OR?","OpenROAD utilizes the following CI practices: 1. OpenROAD Dashboard: - Provides visualization of Quality-of-Results (QoR) over time - Displays flow-QoR metrics such as timing, area, power, etc. 2. Jenkins CI: - Used as the continuous integration tool - Runs regression tests and collects metrics - Provides access to CI information and results These practices help track project metrics, maintain quality, and provide visibility into OpenROAD's performance over time."
"What are the minimum and recommended hardware requirements for running OpenROAD?","The minimum hardware requirements for running OpenROAD are: - 1 CPU core - 8GB RAM The recommended hardware requirements for running OpenROAD are: - 4 CPU cores - 16GB RAM"
"Is macOS supported by OpenROAD?","Yes, macOS is supported by OpenROAD, but with some limitations: 1. Local installation is supported. 2. However, local compilation for the modules 'par' and 'mpl2' is not fully supported due to an upstream issue with or-tools. 3. Docker installation is recommended for macOS users. 4. Prebuilt binaries are not available for macOS. Given these constraints, macOS users are advised to use the Docker installation method for the best experience with OpenROAD."
"How do you start the OpenROAD GUI?","To open the GUI from the command-line (this command does not return until the GUI is closed): gui::show script interactive Options: Switch Name Description script TCL script to evaluate in the GUI. interactive Boolean if true, the GUI should open in an interactive session (default), or if false that the GUI would execute the script and return to the terminal."
"Does OpenROAD support hierarchical macro placement?","Yes, OpenROAD supports hierarchical macro placement through the mpl2 command, also known as 'Hier-RTLMP'. This command implements a multilevel physical planning approach that utilizes the hierarchy and data flow inherent in the design's RTL. The mpl2 command allows for efficient placement of macros in complex hierarchical designs, taking into account the overall structure and connectivity of the design."
"What is the role of DRT in OpenROAD?","The Detailed Routing (DRT) module in OpenROAD is based on the open-source detailed router, TritonRoute. TritonRoute consists of several main building blocks, including pin access analysis, track assignment, initial detailed routing, search and repair, and a DRC engine. The initial development of the router is inspired by the ISPD-2018 initial detailed routing contest. However, the current framework differs and is built from scratch, aiming for an industrial-oriented scalable and flexible flow."
"How can you skip the metal trim step during PDN grid generation?","To skip the metal trim step during PDN grid generation, you can use the -skip_trim option when running the PDN generation command. This option tells the tool to bypass the metal trimming process, which can be useful in certain scenarios where trimming is not desired or necessary. Example usage: pdngen -skip_trim By including this option, the PDN generation process will proceed without performing the metal trim step, potentially saving time in the overall flow."
"What command would you use to add power and ground stripes to a grid?","To add power and ground stripes to a grid in OpenROAD, you would use the `add_pdn_stripe` command. This command defines a pattern of power and ground stripes in a single layer to be added to a power grid. Here are some example usages: 1. To add stripes following pins on metal1: add_pdn_stripe -grid main_grid -layer metal1 -followpins 2. To add stripes on metal2 with a specific width: add_pdn_stripe -grid main_grid -layer metal2 -width 0.17 -followpins 3. To add stripes on metal4 with width, pitch, offset, and starting with ground: add_pdn_stripe -grid main_grid -layer metal4 -width 0.48 -pitch 56.0 -offset 2 -starts_with GROUND"
"Explain the purpose of the -liberty_file parameter in the restructure command.","The -liberty_file parameter in the restructure command is used to specify a Liberty file containing descriptions of the cells used in the design. This Liberty file is then passed to ABC (A System for Sequential Synthesis and Verification). The Liberty file provides crucial information about the timing, power, and functional characteristics of the cells, which is essential for ABC to perform accurate analysis and optimization during the restructuring process."
"Define the -slack_threshold parameter and its default value.","The -slack_threshold parameter specifies a (setup) timing slack value below which timing paths need to be analyzed for restructuring. The default value is 0, and the allowed values are floats ranging from 0 to MAX_FLOAT."
"How can I perform parasitic extraction with specific parameters?","To perform parasitic extraction with specific parameters in OpenROAD, you can use the `extract_parasitics` command. Here's an example command that uses an extraction rules file named rcx.rules and sets a max resistance of 56 ohms: extract_parasitics -ext_model_file rcx.rules -max_res 56 This command will extract parasitics based on the rules defined in rcx.rules and limit the maximum resistance to 56 ohms."
"What is the purpose of the OpenROAD Dashboard?","The OpenROAD Dashboard serves several important purposes: 1. Visualization of Quality-of-Results (QoR): It provides a graphical representation of various QoR metrics over time, allowing users to track the progress and improvements in the OpenROAD flow. 2. Display of flow-QoR metrics: The dashboard shows key metrics such as timing, area, power, and other relevant parameters for different designs and configurations."
"How can the results of the extracted parasitics be saved into a .spef file named design.spef?","The results of extracted parasitics can be saved into a .spef file named design.spef using the `write_spef` command in OpenROAD. Here's the process: 1. Open OpenROAD: cd ../tools/OpenROAD/src/rcx/test/ openroad 2. Load your design: source 45_gcd.tcl 3. Extract parasitics: extract_parasitics 4. Save to .spef file: write_spef design.spef This will create a file named design.spef containing the parasitic information in SPEF format."
"What steps are required to generate an Extraction Rules file using OpenRCX?","The process of generating an Extraction Rules file using OpenRCX involves several steps: 1. Generate layout patterns: - Use OpenRCX's `generate_patterns.tcl` script to produce layout patterns - Output: DEF file (`patterns.def`) and optional Verilog netlist (`patterns.v`) 2. Extract parasitics using a reference extractor: - Use a reference extraction tool (not provided by OpenRCX) - Input: `patterns.def`, `patterns.v` (if required), and additional files - Output: SPEF file (`patterns.spef`) with extracted parasitic data 3. Convert SPEF file to RC tech file: - Use OpenRCX's `generate_rules.tcl` script - Process `patterns.spef` to generate capacitance and resistance tables - Output: Custom RC tech file containing Extraction Rules 4. Benchmarking (optional): - Extract parasitics from pattern layout using the generated RC tech file - Compare results with golden parasitic values from step 2 - Use `ext_patterns.tcl` script - Output: SPEF (`rcx.spef`) and comparison report (`diff_spef.out`)"
"Provide a command to perform parasitic extraction on a design with an extraction rules file named rcx.rules and max resistance of 56 ohms.","To perform parasitic extraction with the given parameters, you can use the following command in OpenROAD: extract_parasitics -ext_model_file rcx.rules -max_res 56"
"How can I add my design test case for regressions?","To add your design test case for regressions in OpenROAD-Flow-Scripts (ORFS), follow these steps: 1. Create the Verilog source files directory based on the top module name: - Navigate to the `designs/src` directory. - Create a new directory named after your top module (e.g., `designs/src/my_design`). - Create a file named `my_design.v` inside the directory and add your Verilog code. 2. Create a config.mk file to define the design configuration: - Navigate to the `designs/gf180` directory (assuming you're using the gf180 platform). - Create a new directory named after your top module (e.g., `designs/gf180/my_design`). - Create a file named `config.mk` inside the directory. 3. Define key design parameters in config.mk: - Specify parameters such as PLATFORM, DESIGN_NAME, VERILOG_FILES, SDC_FILE, CORE_UTILIZATION, PLACE_DENSITY, and TNS_END_PERCENT. 4. Define SDC constraints: - Navigate to the `designs/gf180/my_design` directory. - Create a file named `constraint.sdc` and add your SDC constraints. 5. Add the design name to the Makefile: - Modify the Makefile in the main OpenROAD-Flow-Scripts directory to include your design. 6. Run the regression test: - Execute the command `./test/regression` to run the regression tests, including your new design. Remember to adjust file names, directories, and parameters according to your specific design and platform."
"Can I add my own custom steps for the flow?","Yes, you can add custom steps to the OpenROAD flow. Here's how: 1. Identify the stage: - Determine where you want to add your custom step within the OpenROAD flow. - This could be before or after existing stages like floorplanning, placement, or routing. 2. Write a Tcl script: - Create a Tcl script that contains the commands and logic for your custom step. - This script should be compatible with OpenROAD's API and the flow's environment. 3. Integrate with the flow: - Modify the relevant makefile or Tcl script in OpenROAD-flow-scripts to call your custom Tcl script at the desired stage. - You can use variables and environment settings to control the execution of your custom step. 4. Test thoroughly: - Ensure that your custom step works correctly and doesn't break the overall flow. - Test it with different designs and configurations to validate its functionality. By adding custom steps, you can tailor the OpenROAD flow to meet your specific design requirements and integrate your own tools or algorithms."
"Does ORFS create a DRC-correct layout? ","Yes, ORFS creates a DRC-correct layout."
"Give full form of all tools in OpenROAD","dbSTA stands for Verilog to DB. OpenDB stands for Open Database. TritonPart stands for Constraints-driven Partitioner. ifp stands for Floorplan Initialization. ICeWall stands for Chip-level Connections. ppl stands for I/O Placement. pdn stands for PDN Generation. tap stands for Tapcell and Welltie Insertion. mpl stands for Triton Macro Placer. mpl2 stands for Hierarchical Automatic Macro Placer. gpl stands for RePlAce Global Placer. rsz stands for Gate Resizing and Buffering. dpl stands for Detailed Placement. cts stands for Clock Tree Synthesis. grt stands for FastRoute Global Routing. ant stands for Antenna Check and Diode Insertion. drt stands for TritonRoute Detailed Routing. fin stands for Metal Fill Insertion. dft stands for Design for Test. rcx stands for OpenRCX Parasitic Extraction. sta stands for OpenSTA Timing/Power Analyzer. gui stands for Graphical User Interface. psm stands for Static IR Analyzer."
